epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,11227.8,1.65598,1.52365,1.81549,0.73115,0.72403,0.77271,0.49579,1.79118,1.62627,2.15557,0.0008388,0.0008388,0.0008388
67,11397.8,1.66397,1.51105,1.81059,0.7523,0.74964,0.78093,0.49542,1.80129,1.65174,2.16929,0.00083632,0.00083632,0.00083632
68,11567.6,1.64067,1.49102,1.80401,0.73863,0.74554,0.77458,0.49923,1.78458,1.59171,2.13162,0.00083384,0.00083384,0.00083384
69,11737.7,1.67491,1.51896,1.81356,0.73928,0.76433,0.79136,0.52739,1.71555,1.60447,2.09433,0.00083136,0.00083136,0.00083136
70,11907.8,1.63046,1.479,1.79111,0.72063,0.78483,0.79077,0.52475,1.74486,1.59515,2.1054,0.00082888,0.00082888,0.00082888
71,12077.6,1.62043,1.48111,1.79061,0.76178,0.77653,0.81553,0.54404,1.71159,1.52163,2.07731,0.0008264,0.0008264,0.0008264
72,12247.6,1.62193,1.47185,1.78785,0.74096,0.78568,0.8049,0.53528,1.71077,1.52689,2.06539,0.00082392,0.00082392,0.00082392
73,12417.5,1.61619,1.45711,1.77268,0.76252,0.78517,0.79678,0.53233,1.7011,1.46856,2.05374,0.00082144,0.00082144,0.00082144
74,12587.3,1.62433,1.46047,1.77054,0.82315,0.71067,0.80634,0.53472,1.73536,1.4871,2.08861,0.00081896,0.00081896,0.00081896
75,12757.3,1.61743,1.45712,1.77201,0.78162,0.75115,0.81468,0.55119,1.69114,1.47091,2.04646,0.00081648,0.00081648,0.00081648
76,12927.4,1.60597,1.44711,1.75968,0.75124,0.75662,0.78748,0.53307,1.6678,1.48473,2.05572,0.000814,0.000814,0.000814
77,13097.3,1.60733,1.4551,1.77458,0.79177,0.73527,0.81148,0.53542,1.70568,1.47879,2.06006,0.00081152,0.00081152,0.00081152
78,13267.2,1.6081,1.43273,1.76783,0.7296,0.81901,0.81366,0.549,1.66694,1.45969,2.02321,0.00080904,0.00080904,0.00080904
79,13437.1,1.61731,1.42685,1.76389,0.76646,0.72501,0.8051,0.55051,1.6679,1.51643,2.03404,0.00080656,0.00080656,0.00080656
80,13606.9,1.61038,1.42575,1.757,0.76683,0.76453,0.79921,0.54058,1.66246,1.44005,2.02668,0.00080408,0.00080408,0.00080408
81,13776.9,1.57989,1.41276,1.74161,0.78358,0.78112,0.80924,0.54858,1.64227,1.40479,2.00813,0.0008016,0.0008016,0.0008016
82,13946.9,1.59095,1.40916,1.7412,0.75831,0.77879,0.81401,0.56186,1.62566,1.41469,1.99602,0.00079912,0.00079912,0.00079912
83,14116.9,1.56981,1.39997,1.73256,0.74351,0.78772,0.81114,0.56945,1.60992,1.3967,1.97774,0.00079664,0.00079664,0.00079664
84,14287,1.59555,1.41846,1.76168,0.81316,0.77038,0.83152,0.56474,1.61499,1.35657,1.98955,0.00079416,0.00079416,0.00079416
85,14456.8,1.57716,1.40131,1.74074,0.79611,0.78429,0.82222,0.5629,1.62087,1.38779,1.9796,0.00079168,0.00079168,0.00079168
86,14626.7,1.58159,1.40148,1.73936,0.76657,0.77601,0.82578,0.57241,1.60666,1.39082,1.96397,0.0007892,0.0007892,0.0007892
87,14796.8,1.56911,1.4004,1.74274,0.78361,0.79891,0.83327,0.57831,1.58806,1.37661,1.96662,0.00078672,0.00078672,0.00078672
88,14966.8,1.57491,1.39732,1.74412,0.79554,0.77536,0.83595,0.58433,1.58765,1.35974,1.96856,0.00078424,0.00078424,0.00078424
89,15136.8,1.55589,1.37501,1.72803,0.7565,0.80908,0.84904,0.60276,1.567,1.32996,1.93803,0.00078176,0.00078176,0.00078176
90,15306.8,1.54832,1.3624,1.71558,0.72998,0.82149,0.83742,0.58189,1.58704,1.34624,1.95007,0.00077928,0.00077928,0.00077928
91,15476.6,1.54123,1.35425,1.69826,0.75981,0.80933,0.84794,0.59179,1.57025,1.34284,1.93573,0.0007768,0.0007768,0.0007768
92,15646.6,1.5331,1.32842,1.68053,0.76879,0.8037,0.84243,0.58938,1.56862,1.3448,1.93212,0.00077432,0.00077432,0.00077432
93,18357.4,1.54123,1.3467,1.70921,0.78611,0.80329,0.84021,0.59694,1.56172,1.30212,1.93037,0.00077184,0.00077184,0.00077184
94,18526.5,1.53577,1.35885,1.71711,0.73732,0.83614,0.84887,0.60521,1.54966,1.29279,1.91439,0.00076936,0.00076936,0.00076936
95,18696.6,1.54499,1.35146,1.71603,0.7621,0.82397,0.8448,0.60921,1.5275,1.27415,1.895,0.00076688,0.00076688,0.00076688
96,18866.5,1.52189,1.33891,1.69849,0.76894,0.81078,0.84469,0.60537,1.52878,1.30116,1.89857,0.0007644,0.0007644,0.0007644
97,19036.5,1.51598,1.33206,1.68725,0.80191,0.80402,0.8413,0.59974,1.51039,1.27672,1.89066,0.00076192,0.00076192,0.00076192
98,19206.5,1.53004,1.34905,1.70749,0.81169,0.76637,0.8527,0.61078,1.50237,1.23833,1.87881,0.00075944,0.00075944,0.00075944
99,19376.4,1.51577,1.32431,1.6932,0.77598,0.81463,0.85672,0.60574,1.51016,1.24164,1.87844,0.00075696,0.00075696,0.00075696
100,19546.3,1.5061,1.31392,1.67453,0.80327,0.79932,0.84326,0.6118,1.4814,1.25547,1.8517,0.00075448,0.00075448,0.00075448
101,19716.3,1.50082,1.33067,1.68042,0.83077,0.76719,0.86366,0.62453,1.47747,1.23067,1.84901,0.000752,0.000752,0.000752
102,19886.3,1.52139,1.32321,1.68209,0.81122,0.78946,0.85913,0.61945,1.48984,1.25921,1.85689,0.00074952,0.00074952,0.00074952
103,20056.3,1.5146,1.33762,1.69492,0.83372,0.79195,0.86275,0.63563,1.48406,1.25893,1.85558,0.00074704,0.00074704,0.00074704
104,20226.4,1.50851,1.32635,1.68863,0.81349,0.78814,0.8667,0.63821,1.46008,1.19441,1.83093,0.00074456,0.00074456,0.00074456
